,Gene name,mito,ORF,value,R value,P value,BH
309,CMC2,mito,YBL059C-A,0.00013402383956736145,-0.028523935692839605,0.8473901229786407,1.1459368211099055
310,ARG8,mito,YOL140W,0.0001335521351575472,0.05322440048622338,0.7135483988227145,1.0605543346256772
311,ODC2,core,YOR222W,0.00013317495747532768,-0.038530770933379394,0.7948569657367963,1.115016744388779
312,LEU9,mito,YOR108W,0.0001330428108474299,-0.3485122357803445,0.01312607166505006,0.16719242120845887
313,TIM54,mito,YJL054W,0.00013221783112042924,-0.07462906310848919,0.6103113393429244,0.9911038844030395
314,MRPL10,mito,YNL284C,0.00013213556148727423,-0.02540733169153716,0.8609687497289014,1.1553906706191261
315,SLT2,mito,YHR030C,0.00013196323892904015,-0.03569948898773129,0.8055838081071118,1.1206412949873183
316,MRX9,mito,YDL027C,0.00013162008512690126,0.04615449994887187,0.7633674591698523,1.093264954087477
317,MRPL8,mito,YJL063C,0.0001314054971890017,0.10028978441266774,0.4883287156731472,0.9015299366273486
318,BOL1,mito,YAL044W-A,0.00013102786940274145,0.21787311673961793,0.14124224908188654,0.5594076338854105
319,COX20,mito,YDR231C,0.00013068927323434424,0.06011336262148187,0.6783689124611867,1.0382732963156225
320,MRP7,mito,YNL005C,0.0001292663733282431,-0.024578836184196113,0.8668700193949118,1.15808416653539
321,YLH47,mito,YPR125W,0.00012918140447030785,-0.09455770751537373,0.513641203615053,0.9163551989376533
322,QCR8,core,YJL166W,0.00012882353414380628,0.2454115085547473,0.08919982776000557,0.45194579398402823
323,MPM1,mito,YJL066C,0.00012813489534416552,0.29691827204907917,0.04042731657007518,0.3121025342430183
324,MDL2,mito,YPL270W,0.00012813303242798193,0.050215025940722115,0.7291085357285172,1.0713431545398622
325,MRPS18,mito,YNL306W,0.0001278363310891336,0.0733454901481767,0.6164838329511397,0.9954554809692625
326,AIM46,mito,YHR199C,0.00012772796485049155,-0.028845151359822446,0.8456923062160459,1.145452549409456
327,RPM2,mito,YML091C,0.00012759140739833507,-0.07834478757142814,0.5925947623313335,0.9788331741961653
328,MRPL28,mito,YDR462W,0.00012736427705161587,0.17755151055552937,0.23780943866463777,0.6834523363303036
329,HFA1,mito,YMR207C,0.0001272043873752784,0.09302781521156218,0.5785442282875399,0.9668317912256958
330,FMP10,mito,YER182W,0.0001268827314913704,0.11995502504553283,0.42189854367290913,0.8477632311171264
331,DIC1,mito,YLR348C,0.00012515215692437644,0.1674686458957608,0.25523326240164995,0.7088085728084798
332,APN1,mito,YKL114C,0.00012494285127129633,-0.2711437472298852,0.062306169650889615,0.3853292951284674
333,TOM20,mito,YGR082W,0.00012430368618588842,-0.1629820828940365,0.2631725247916357,0.7157455545028979
334,MOT1,mito,YPL082C,0.0001240585569044087,-0.20141195833629802,0.1652113429412684,0.5818978299270217
335,MRPL33,mito,YMR286W,0.00012349266258461733,0.06684379490333324,0.6516973424443109,1.0221531351339341
336,OAC1,mito,YKL120W,0.00012304103527118856,-0.22365388224164223,0.11844758718819588,0.515054988154647
337,MZM1,mito,YDR493W,0.00012279501621133594,0.20820453673425443,0.160203672644646,0.577340948835289
338,BIO2,mito,YGR286C,0.00012251886149468742,-0.10567338305558804,0.4796066453905229,0.8933849276882289
339,MPC3,core,YGR243W,0.00012218866195038775,0.4826748807718784,0.008002438586493453,0.12056537429871195
340,MRP4,mito,YHL004W,0.00012207329756465008,0.047321346898118365,0.7441731509794077,1.0802513481959144
341,PET191,mito,YJR034W,0.0001217251778883674,-0.08782832631622808,0.5571746495306019,0.953006902422935
342,COQ11,mito,YLR290C,0.00012125259390129301,-0.04370402451239005,0.7631386355039932,1.0931661291826835
343,TIM23,mito,YNR017W,0.00012065988977289867,0.16663526624218636,0.24743778559731278,0.6973524736240706
344,MAD1,mito,YGL086W,0.00012044245575424918,-0.017784985241237467,0.9121188550316408,1.1816085167455348
345,GLO4,mito,YOR040W,0.0001202536194677068,0.15714606907930173,0.30257546116841416,0.7569920096532381
346,COX1,core,Q0045,0.00011993478258645485,0.5210634252297152,0.00017319101356622275,0.006927640542648909
347,TOM71,mito,YHR117W,0.00011907505113355253,-0.18947916742027465,0.1875346334985757,0.6137497096317022
348,CDC9,mito,YDL164C,0.00011904755780372609,-0.18880134500877158,0.2088948499406541,0.647706606343642
349,TFC3,mito,YAL001C,0.00011902274088995431,-0.09895478719331309,0.5081255075549133,0.9127044305870815
350,IMG1,mito,YCR046C,0.00011858926746464604,-0.003029261148387448,0.9835189106557374,1.2244756732590543
