Gene name,LFQ Intensity A549_1,LFQ Intensity A549_2,LFQ Intensity A549_3,LFQ Intensity GAMG_1,LFQ Intensity GAMG_2,LFQ Intensity GAMG_3,LFQ Intensity HEK293_1,LFQ Intensity HEK293_2,LFQ Intensity HEK293_3,LFQ Intensity HeLa_1,LFQ Intensity HeLa_2,LFQ Intensity HeLa_3,LFQ Intensity HepG2_1,LFQ Intensity HepG2_2,LFQ Intensity HepG2_3,LFQ Intensity Jurkat_1,LFQ Intensity Jurkat_2,LFQ Intensity Jurkat_3,LFQ Intensity K562_1,LFQ Intensity K562_2,LFQ Intensity K562_3,LFQ Intensity LnCap_1,LFQ Intensity LnCap_2,LFQ Intensity LnCap_3,LFQ Intensity MCF7_1,LFQ Intensity MCF7_2,LFQ Intensity MCF7_3,LFQ Intensity RKO_1,LFQ Intensity RKO_2,LFQ Intensity RKO_3,LFQ Intensity U2OS_1,LFQ Intensity U2OS_2,LFQ Intensity U2OS_3
ZNF770,,,,,,,,,,,,,,,,,,,2.1933671648431683e-06,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5539045010687755e-07,
C17orf89,,,,,,,,,,,,,,,,,,,,,,,,1.6951774307701685e-06,,,,,,,,,
SIAT9;ST3GAL5;UNQ2510/PRO5998,,,,,,,,,4.344096751566993e-07,,,,,,,,,,,,,,,,,,,,,,,,
ALX4;KIAA1788,,,,,,,,,1.8808427582120824e-06,,,,,,,,,,,,,,,,,,,,,,,,
PEN;TSPAN33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12orf49,,,,,,,,,,,,,,,,,,,,,,,,1.0512189026989681e-06,,,,,,,,,
C20orf134,,,,,,,,,,,,,,,,,,,,,,,1.6298396881734845e-07,,,,,,,,,,
CDK2AP1;CDKAP1;DOC1,,7.181814302637337e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEMPT;PEMT;PNMT,,,,,,,,,,,,,,,,,,,,,,,,9.221597483520954e-07,,,,,,,,,
ARHE;RHO8;RHOE;RND3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.329455249944841e-06,,,
BATF,,,,,,,,,,,,,,,,,,,,,,,,,,,3.878493434450469e-06,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,5.695568252953997e-07,,,,,,
FUNDC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4102175773199234e-06
SLC39A13;ZIP13;hCG_1730570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.556570942296996e-06,
JOSD2;SBBI54,,,,,,,,,,,,,,,,,,4.814131016584021e-07,,,,,,,,,,,,,,,
KIAA1126;SLC45A4;hCG_1729650,2.4510371190381834e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,1.6632792195962186e-06,,,,,,,,,
KIAA1954;ZFP90,,,5.383890078714971e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIAA1430,,,,,,,,,6.066825301087508e-07,,,,,,,,,,,,,,,,,,,,,,,,
THNSL2,,,,,,,,,,,,,,,,,,,,,,,,2.172496881110298e-06,,,,,,,,,
C14orf90;TMEM179;TMEM179A,,,,,,,,,4.483080004275193e-07,,,,,,,,,,,,,,,,,,,,,,,,
nan,,,,,,,,,,,3.6614683966210138e-06,,,,,,,,,,,,,,,,,,,,,,
OLFML2B,,,,,,2.447715640115934e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIAA0048;SP2,,,3.3489077495692076e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C16orf48;UNQ6410/PRO21183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6295428322302566e-07
C16orf31;SPSB3;SSB3;hCG_42718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNQ773/PRO1567;ZG16B;PAUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47766136667728e-06,
CAMKV;hCG_95981,,,,,,,,,1.0640927624062028e-06,,,,,,,,,,,,,,,,,,,,,,,,
FAM174A;NS5ATP6;TMEM157;UNQ1912/PRO4371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDP1;PTPN18;hCG_1992147,,,,,,,,,,,,,,,,,,3.974503698220605e-07,,,,,,,,,,,,,,,
FAM70B,,,,,1.0333272102838396e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETV1;ER81;DKFZp781L0674,,,,,,,,,,,,,,,,,,,,,,,,1.0721465727215984e-06,,,,,,,,,
C9orf91,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0868028581977228e-06,,,,,
ST1B2;SULT1B1;SULT1B2,,,,,,,,,,,,,,,,,,1.4738419219264538e-06,,,,,,,,,,,,,,,
